Andrii_trial_6
Date:,2020/08/03
Time:,15:46:59
Type:,muscu_imu
Description:,""
Notes:,"Trial1_Flexion"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1888,394.939362,608.391418,333.488068,368.997192,432.484253,225.497086,395.951996,243.826523,207.442398
1889,394.754425,606.877380,334.186676,369.669525,430.153656,231.822632,399.093658,241.584137,222.164444
1890,394.756256,605.469360,334.734711,370.752808,428.261780,237.981720,402.461426,239.970764,236.418655
1891,394.740753,603.918030,335.242279,371.664093,426.578400,244.219086,405.649994,238.699585,250.597916
1892,394.540466,602.277893,336.184113,372.688507,425.068726,250.371185,408.846558,238.183395,265.125763
1893,394.151855,600.532776,336.989227,373.747131,423.800751,256.301453,412.308380,238.121094,279.509033
1894,393.888733,598.575928,337.855774,374.869080,423.032471,262.164185,415.520660,238.901077,293.543152
1895,393.524933,596.690796,338.662750,376.109741,422.065430,267.938141,418.587158,240.100601,307.413300
1896,393.350922,594.778259,339.260193,377.205353,421.427856,273.577606,421.816467,241.887054,321.360504
1897,393.333771,592.786438,340.081451,378.242676,420.997375,279.263153,424.699829,244.346985,334.724701
1898,393.261871,591.242676,340.503662,379.706207,420.903473,284.612671,428.128876,247.355255,347.579529
1899,393.312256,589.529114,340.866852,380.950287,420.880463,289.918060,431.481140,250.964081,359.415070
1900,393.435059,587.787415,341.446869,382.210632,421.093506,294.909851,434.865753,254.599365,371.430817
1901,393.815369,586.680969,341.693176,383.280304,421.552887,299.515930,438.201660,259.082886,382.820801
1902,393.965088,585.587158,342.195831,384.581268,422.204895,304.029694,441.725037,263.800385,393.525146
1903,394.040497,584.508789,342.568573,385.868591,422.944366,308.188202,444.897797,269.155884,404.155731
1904,394.113373,583.479431,343.117584,387.351563,423.992340,312.127594,448.173279,275.066437,414.037018
1905,394.284882,582.564026,343.309174,388.817444,425.318726,315.726898,451.512329,281.157410,422.710846
1906,394.786957,581.513550,343.516724,390.133392,426.898590,319.275574,454.334412,287.412415,431.947174
1907,394.883575,580.469177,343.770782,391.698578,428.608185,322.231323,457.504089,293.977722,439.785492
1908,395.076294,579.371094,343.710266,392.848663,430.309875,325.000000,460.429810,299.988647,447.389282
1909,395.155792,578.567200,343.909027,394.184998,432.075073,327.296478,463.183746,306.244751,453.672882
1910,395.362762,577.850830,344.011688,395.407898,433.899200,329.514526,465.928192,312.495972,459.531799
1911,395.614014,577.354797,344.204041,396.730804,435.443970,331.304749,468.506927,318.233734,464.533264
1912,396.109619,576.817078,344.435486,397.846039,436.966156,332.960297,470.972443,323.812988,468.801514
1913,396.297760,576.464233,344.464661,398.900360,438.460083,334.125153,473.176575,328.619263,472.385162
1914,396.330017,576.240112,344.652527,399.827484,439.893158,334.934631,475.156464,333.162964,475.003418
1915,396.399628,575.951965,344.661926,400.767731,440.934296,335.702637,477.213531,336.847321,477.660126
1916,396.444733,575.870667,344.603119,401.580139,441.797791,336.129395,478.951538,339.886261,479.139252
1917,396.589996,575.916992,344.375824,402.115417,442.607910,336.420441,480.261993,342.265045,480.254272
1918,396.780640,576.086060,344.101837,402.466736,443.456940,336.559875,481.425201,343.750336,480.532745
1919,396.814728,576.330750,344.069183,402.673523,443.869507,336.361725,482.225311,344.713379,480.343872
1920,396.759247,576.526917,344.039948,403.027679,444.110962,335.767334,482.633270,344.822144,479.696289
1921,396.862061,576.956665,343.796783,403.238312,444.014038,335.112610,482.829773,344.085205,478.570435
1922,396.835266,577.594788,343.507416,402.953979,443.921600,334.315491,482.731049,342.936218,476.849457
1923,396.749664,578.101990,343.155884,402.736115,443.876221,333.437622,482.057068,340.834229,475.036224
1924,396.522034,578.791321,343.040680,402.327271,443.428894,332.164368,481.302124,338.275024,472.123108
1925,396.428345,579.446594,342.779633,401.988647,442.726624,330.907990,480.275635,335.352020,469.326782
1926,396.256714,580.229614,342.401031,401.403687,442.211334,329.329285,478.629059,331.888702,466.135254
1927,396.236145,581.024719,342.309235,400.794830,441.451111,327.807373,476.740601,328.169464,462.141876
1928,396.252075,581.663513,342.127045,399.802551,440.848541,326.224121,474.980743,324.017120,458.131287
1929,396.097748,582.755005,341.984955,399.322296,440.190704,324.290344,472.755585,319.764374,453.691711
1930,396.112976,583.767639,341.833679,398.393494,439.248932,322.421753,470.421295,315.575531,448.683289
1931,395.865936,584.689453,341.842346,397.571655,438.537048,320.365692,468.117279,311.301056,443.316467
1932,395.575195,585.798584,341.508759,396.681763,437.734253,318.229218,465.272308,306.750946,437.924255
1933,395.448090,586.733887,341.260468,395.769775,437.074768,316.187805,462.613770,302.609955,432.182587
1934,395.409790,587.847717,341.177734,395.056488,436.286011,313.627258,459.884064,298.293793,426.295502
1935,395.481201,588.827942,340.833801,394.032074,435.692780,311.378174,457.166687,294.259430,419.916718
1936,395.299683,589.772766,341.027588,393.063965,435.446686,308.948608,453.922516,290.455048,413.845337
1937,395.331909,591.013000,340.766113,392.254486,435.172394,306.273071,451.013275,286.859650,407.434662
1938,395.424225,592.035217,340.512115,391.286835,435.024261,303.732788,447.675385,283.187714,400.782501
1939,395.213959,592.853821,340.598907,390.354156,434.876373,301.205658,444.722015,279.798340,393.628235
1940,395.389648,593.822144,340.299194,389.470245,434.589447,298.542999,441.715057,276.534973,386.196564
1941,395.189911,594.712524,339.958069,388.414154,434.233398,295.777374,438.535400,273.169067,378.882050
1942,395.103394,595.542725,339.776886,387.608826,433.878021,292.582062,435.710785,270.015411,371.037170
1943,395.308105,596.721680,339.268646,386.442383,433.336639,289.442169,432.975098,267.174652,363.174164
1944,395.086426,597.857239,339.410339,385.509094,432.954895,285.981812,430.088043,264.745209,355.544830
1945,395.356476,598.813049,339.275360,384.601685,432.716339,282.391663,427.786774,262.742767,347.070007
1946,395.472778,599.785645,339.277405,383.479004,432.486481,278.990509,424.872223,260.114807,339.078857
1947,395.577454,600.707764,339.112549,383.085785,432.387543,275.376129,422.215240,258.069153,330.387299
