Andrii_trial_3
Date:,2020/08/03
Time:,15:36:23
Type:,muscu_imu
Description:,""
Notes:,"Trial2_LateralMovement"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1030,533.511230,689.644226,577.929077,314.526581,637.684692,647.558105,125.666878,582.635254,709.909302
1031,532.566406,689.432129,576.174133,312.974792,637.500732,643.745422,123.602379,582.114929,704.255066
1032,531.523926,689.390747,574.364990,311.316467,637.302246,639.491150,121.463142,581.589783,698.367371
1033,530.477783,689.234802,572.084351,309.646484,637.190613,634.959045,119.478699,580.862122,691.660400
1034,529.628967,689.259399,569.841309,307.777435,637.146057,629.533020,117.591187,580.170349,684.403564
1035,528.090637,689.324951,567.506348,306.344360,637.240112,623.969055,115.605583,579.254883,676.456726
1036,526.997009,689.590332,564.440735,304.320587,637.256226,617.862793,113.907608,577.981079,667.832397
1037,526.025635,689.851135,561.176392,302.438690,637.244202,611.355957,112.302795,576.452759,658.499939
1038,524.587952,690.370850,557.710388,300.923492,637.211487,604.037109,110.660507,574.593384,648.586121
1039,523.506409,690.688965,553.836792,298.939209,637.042114,596.488159,109.294067,572.483948,637.872559
1040,522.416016,691.228760,549.830811,297.271423,636.550171,588.322571,108.013069,569.811035,626.355469
1041,521.082275,691.804199,545.476318,295.772430,636.088806,579.479614,107.308510,567.006653,614.241272
1042,519.859436,692.324463,541.231750,294.188080,635.712219,569.991333,106.950668,563.917419,601.422302
1043,518.604309,692.792603,536.311035,293.077362,635.172363,559.837891,106.711708,560.925415,587.668396
1044,517.319702,693.028687,531.723450,291.863800,634.658447,549.272949,107.045746,557.816772,573.163513
1045,516.110962,693.216919,526.878296,291.125305,634.141602,538.083801,107.633682,554.474243,557.988708
1046,515.102051,693.688293,521.552734,290.699341,633.456665,526.514587,108.295380,551.049622,542.089172
1047,514.026855,693.750000,515.993591,290.358246,632.628479,514.562317,109.376945,547.579224,525.300049
1048,512.940002,693.801819,510.406769,290.331604,631.564270,502.416718,110.444336,543.941040,508.155579
1049,511.977020,693.866394,504.717529,290.588776,630.366272,490.080780,111.911949,540.329590,490.305420
1050,511.097229,693.954590,499.148956,290.916260,629.140137,477.139954,113.944595,536.902100,471.861450
1051,510.173553,693.894348,493.307434,291.879608,627.823547,463.948975,115.917183,533.513428,453.445190
1052,509.531555,693.534851,487.011963,292.824188,626.830750,450.776093,119.050507,530.152222,433.952637
1053,508.575470,693.397766,481.044403,293.939453,625.884827,437.075500,122.342461,526.972961,414.419403
1054,507.929413,693.001892,475.148529,295.453949,624.523926,423.490723,126.230492,524.046814,394.542816
1055,507.516937,692.607178,468.929199,297.351105,623.011963,409.807068,130.349594,521.294128,374.627411
1056,507.015930,692.035339,463.312592,299.625336,621.441833,396.324219,135.150101,518.560486,354.057495
1057,506.871918,691.736633,457.449768,301.747253,619.697449,383.172241,140.184616,515.790344,333.766998
1058,506.828888,691.469543,451.502228,304.550659,618.101685,369.817108,145.377625,513.161804,313.264374
1059,506.531067,690.792908,445.603363,307.340668,616.465332,356.500000,151.170151,510.944336,293.078705
1060,506.270081,690.503052,439.743774,310.497223,614.885254,343.324860,157.380310,508.708191,273.075317
1061,505.876007,689.299316,434.084442,313.910065,613.368713,330.179718,164.177658,507.222137,253.460281
1062,505.518829,688.252502,428.153137,317.678345,611.936096,317.385376,171.555786,506.238953,233.941559
1063,505.579071,687.259949,422.949371,321.767853,610.547424,304.705994,179.340637,505.527344,214.979767
