Marta_trial 1;;;;;;;;;
Date:;29/07/2020;;;;;;;;
Time:;17:13:33;;;;;;;;
Type:;muscu_imu;;;;;;;;
Description:;;;;;;;;;
Notes:;;;;;;;;;
;;;;;;;;;
TRAJECTORIES;;;;;;;;;
100.000000;Hz;;;;;;;;
;R_shoulder1;;;R_elbow2;;;R_wrist3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
155;440.607330;206.876129;340.620972;371.490997;46.063168;300.544556;359.609436;-100.570816;293.237976
156;440.531738;206.374786;340.425201;369.884399;43.696587;294.248016;356.087921;-102.179108;279.597595
157;440.819946;205.456055;340.081940;368.592499;41.545544;287.574188;353.019073;-103.099327;265.669220
158;441.085266;204.743851;339.582581;367.143707;39.753090;280.397797;350.061493;-103.610413;251.238312
159;441.641571;204.035492;339.238647;365.604218;38.015156;272.976166;347.260559;-103.688339;237.032150
160;441.974274;203.376282;338.777130;364.237762;36.723064;265.734497;344.504547;-103.353622;222.866791
161;442.401367;202.063416;338.342712;363.048615;35.512848;258.432404;342.213593;-102.427078;208.237701
162;442.420319;201.117630;338.189911;361.881165;34.544880;251.383774;340.119385;-100.565567;194.069443
163;442.664246;199.877121;337.937378;361.045135;33.909782;244.219040;338.423126;-98.091095;180.172165
164;442.790802;199.154648;337.727325;360.233795;33.608501;237.271774;337.056030;-95.074539;166.297394
165;443.154388;198.298645;337.295441;359.495239;33.569077;230.270248;335.552002;-91.400383;152.905060
166;443.209351;197.712494;337.170807;358.994415;33.847797;223.512741;334.456299;-87.312782;139.660431
167;443.644928;196.460999;336.598541;358.385742;34.271076;216.807251;333.585724;-82.271652;126.830849
168;443.763153;195.279282;336.957550;358.475403;35.054996;210.501587;333.086151;-76.612625;114.599808
169;443.925446;193.945160;336.924255;358.490356;35.938118;204.279831;333.573669;-70.592506;102.579475
170;444.021606;192.766373;336.414063;358.896332;37.415562;198.177063;334.426117;-64.050018;91.576385
171;443.955750;192.111481;336.204681;359.284576;39.296276;192.470428;335.512787;-57.172939;81.328148
172;443.857697;191.189133;335.952057;359.847412;41.852879;186.940567;336.631470;-50.642937;71.663391
