Marta_trial;;;;;;;;;
Date:;29/07/2020;;;;;;;;
Time:;17:12:00;;;;;;;;
Type:;muscu_imu;;;;;;;;
Description:;;;;;;;;;
Notes:;;;;;;;;;
;;;;;;;;;
TRAJECTORIES;;;;;;;;;
100.000000;Hz;;;;;;;;
;R_shoulder1;;;R_elbow2;;;R_wrist3;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z
106;471.074554;231.737885;619.765747;250.603577;185.612488;714.658203;85.068260;187.791458;730.368164
107;471.462616;231.982590;620.606506;251.647461;186.375839;716.833069;86.127693;188.673691;733.294006
108;472.017273;232.202164;621.081604;252.332672;187.062317;718.476257;86.734497;189.568604;735.522522
109;472.184662;232.384048;621.446655;253.072342;187.703766;719.517090;87.204224;190.106491;736.974915
110;472.200653;232.776321;621.445007;253.151825;188.233749;719.829468;87.564163;190.796722;737.653503
111;472.180389;233.096100;621.049866;253.178329;188.730484;719.892456;87.491768;191.205551;737.589233
112;471.965973;233.502426;620.490723;252.888107;189.154083;719.285095;87.258904;191.442078;736.676880
113;472.001862;234.001770;619.752930;252.383270;189.336380;718.188354;86.623070;191.405167;735.272095
114;471.430389;234.294815;619.062256;251.639404;189.521774;716.700989;85.854004;191.518433;733.013794
115;471.073334;234.656769;617.805969;250.577728;189.557541;714.338074;84.780571;191.369110;730.076904
116;470.377869;234.541763;616.919434;249.332489;189.379745;712.004395;83.443169;191.048157;726.484741
117;469.782257;234.805374;615.541626;247.961426;189.219299;708.900146;81.934311;190.472702;722.167542
118;468.873657;234.672592;614.083374;246.245117;189.023087;705.529053;80.112816;189.850082;717.255310
119;468.031403;234.726700;612.553528;244.436264;188.538879;701.694702;78.106979;189.163696;711.692200
120;467.173401;234.592804;610.874329;242.634399;188.093323;697.195862;75.934715;188.287872;705.453430
121;466.144775;234.450867;609.038696;240.285080;187.432114;692.550354;73.775978;187.687836;698.628601
122;465.127777;234.153305;606.927490;238.231323;186.839462;687.408569;71.655937;186.742905;691.101074
123;463.816833;233.895432;604.700745;235.928726;186.208191;681.734863;69.271126;185.818344;683.237549
124;462.544525;233.655731;602.156799;233.759705;185.594193;675.829773;66.993111;184.858688;674.821655
125;461.319672;233.299713;599.369629;231.581741;184.710693;669.637085;64.803696;183.628906;666.103271
126;460.077698;233.067413;596.226807;229.077103;184.040771;662.967896;62.628376;182.328888;656.819702
127;458.727264;232.767975;592.848328;226.980957;183.123917;655.803894;60.684368;181.232712;646.942566
128;457.443634;232.710464;589.171448;224.853149;182.413910;648.067566;58.595688;179.808472;636.751343
129;456.163879;232.909637;585.333801;222.530289;181.531891;640.314819;56.771904;178.223679;626.134033
130;454.859253;232.741196;581.299011;220.662796;180.788956;631.872925;55.178917;176.692932;614.842896
131;453.605957;233.047119;577.218384;218.580902;180.077408;623.065552;53.738564;174.990799;603.098267
132;452.501892;233.242691;572.778687;216.578796;179.364059;614.214417;52.250004;173.188553;590.968750
133;451.192566;233.346603;568.458130;214.574463;179.011719;604.555542;51.259460;171.396561;578.199646
134;450.178497;233.549606;563.886658;212.878220;178.403534;595.012390;50.421154;169.559662;565.059814
135;449.116943;233.986542;559.105652;211.464462;178.014618;584.971252;49.838139;167.654419;551.389160
136;447.966766;233.919159;554.280151;210.060913;177.505371;574.301758;49.748188;165.840927;537.383362
137;447.186005;234.380630;549.145325;209.025269;176.851151;563.393494;49.971066;163.938751;522.549072
138;446.279694;234.575195;544.187012;208.015823;176.538208;552.161316;50.410740;161.854904;507.548126
139;445.421753;234.904419;539.057800;207.402695;175.831421;540.405212;51.450657;159.720383;491.863251
140;444.748871;234.923157;533.617615;207.087936;174.830750;528.427795;52.680279;157.561752;475.966614
141;444.171570;234.802338;528.175842;206.993652;173.950195;515.939453;54.393494;155.740021;459.787903
142;443.779083;234.844727;522.643738;207.103333;173.120239;503.411163;56.930851;153.905609;442.893616
143;443.129089;234.326172;516.934937;207.830688;172.311203;490.184265;59.646610;152.149170;425.738190
144;442.745697;233.937653;511.350891;208.599030;171.573334;477.148346;63.074615;150.583344;408.322357
145;442.518433;233.678238;505.146484;209.916199;170.877975;463.534821;67.016792;148.927643;390.618591
146;442.233826;233.041794;498.896271;211.673950;170.169708;449.987549;71.430222;147.398148;372.653229
147;442.311218;232.261734;492.912415;213.710922;169.151672;436.149475;76.578804;145.585968;354.478516
148;442.318207;231.873657;486.455170;216.361679;167.826294;422.109772;82.324753;143.938095;336.310577
149;443.184692;231.595688;479.954163;219.329605;166.466064;408.019501;88.701393;142.042801;317.862579
150;443.526093;231.186111;473.676331;222.921600;164.985825;393.938385;95.847748;140.357391;299.141144
151;444.029449;230.440857;467.486755;226.771545;163.386032;379.648865;103.326241;138.577179;280.735474
152;444.811768;230.207672;460.942383;231.192993;161.946487;365.438202;111.570175;137.248535;262.376587
153;446.070007;229.896591;454.122864;235.727066;161.038010;351.159058;120.306732;136.042999;244.235550
154;447.598297;229.798691;447.483795;240.831421;159.874298;337.074371;129.403946;135.040070;226.277252
155;448.759644;228.897522;441.446838;246.376465;158.755310;323.316254;139.000549;133.855164;208.315720
156;449.606689;228.084946;435.620087;251.995804;157.674896;310.061890;149.185455;132.800446;191.212723
157;451.017242;227.483994;429.573242;258.183411;156.645355;296.938080;159.457031;131.830627;174.487030
158;452.224976;226.498657;423.786499;264.551270;155.494644;284.088409;170.023529;130.986023;158.433197
159;453.605194;225.820618;418.085754;271.125122;154.211716;271.891235;180.758575;130.013611;142.693344
160;455.011688;224.851456;412.208740;277.700226;153.039246;259.734558;191.961380;129.195938;127.709686
161;456.260712;224.048996;406.811646;284.445648;152.194595;248.213150;203.121887;128.689240;113.381752
162;457.777344;223.214233;401.493225;291.256897;151.302551;237.144363;214.252655;128.184784;99.557678
163;458.917267;222.524719;396.115784;298.249817;150.422226;226.631180;225.328369;127.780930;86.975746
164;460.406738;221.739014;390.992371;304.857788;149.669815;216.676331;236.385727;127.514870;74.687004
165;461.547363;220.936356;385.893311;311.941711;148.950119;206.824081;247.166061;127.503464;63.305641
166;463.071869;220.275665;381.135437;318.813202;148.440262;197.789352;257.665924;127.519096;52.505100
167;464.487976;219.866623;376.453949;325.460846;147.957870;189.353043;268.083862;127.611229;42.658150
168;465.713165;219.042206;372.020447;332.174713;147.457962;181.295914;278.636993;127.900055;33.175518
169;467.437286;218.635773;367.779877;338.832520;147.052155;173.565979;288.893951;127.997101;24.438892
170;468.731720;218.300400;364.126434;345.593750;146.930786;166.536865;299.033081;128.282379;16.576786
171;470.501465;218.068878;360.394562;352.270111;146.424072;159.868179;309.020660;128.376328;9.180313
172;472.172943;217.653442;356.937561;358.991333;146.335495;153.815567;318.963226;128.807098;2.117511
173;473.932983;217.331070;353.759705;365.355103;146.177750;148.361450;328.746246;129.130203;-4.242502
174;475.232605;217.090561;351.235352;371.994507;146.006638;143.084686;338.305603;129.421310;-9.773616
175;477.028778;216.880295;349.000122;378.384369;146.379547;138.532379;347.917358;129.781326;-15.202281
176;478.222839;216.419601;347.115143;384.838959;146.332291;134.100037;357.628815;130.120941;-20.064411
177;479.617157;216.197372;344.809235;390.723145;146.439468;130.368271;366.861053;130.192993;-24.614338
178;480.752441;215.613968;343.100372;396.629303;146.600754;126.966782;376.170624;130.161209;-28.572830
179;481.748810;215.263931;341.705414;402.405060;146.579086;123.758835;384.649902;130.155991;-32.093006
180;482.461273;214.490112;340.161011;407.846741;146.718155;120.735634;393.163177;130.054337;-35.808090
181;483.449432;213.931488;338.332153;413.038818;146.856705;117.995049;401.041656;129.976212;-38.844913
182;484.443878;213.392792;336.886902;417.908203;147.009705;115.552734;408.436615;130.149460;-41.728645
183;485.391785;213.234909;335.350861;422.346771;147.100632;113.415520;415.572662;130.381577;-44.084427
184;486.360107;212.467178;333.877045;427.061340;147.326813;110.851807;421.947235;130.434982;-46.335552
185;487.097656;212.379364;333.073425;431.368469;147.416519;108.765549;428.122009;130.522354;-48.219181
186;488.407562;212.340698;331.708923;435.084381;147.328247;107.392395;434.128601;130.570190;-50.030457
187;489.118622;212.281799;330.837616;438.744415;147.170059;105.823647;439.363647;130.487213;-51.517403
188;489.751648;212.518768;330.294983;442.106903;146.922516;104.774445;444.115143;130.226074;-52.605934
189;490.682739;213.097412;329.399139;445.392120;146.653900;103.509972;448.902252;130.259659;-53.885998
190;491.113525;213.303696;329.062164;448.008972;146.477600;102.786263;452.808167;130.057037;-54.808941
191;491.619812;213.667969;328.681091;450.457123;146.528976;102.229111;456.445984;130.117920;-55.771614
192;491.864319;213.788605;328.482239;452.679810;146.434814;101.146461;459.413513;130.692947;-56.417137
193;492.038971;214.084885;328.184204;454.507904;146.586380;100.664337;461.808838;130.886139;-56.765656
