Marta_trial 2
Date:,2020/07/29
Time:,17:14:48
Type:,muscu_imu
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
111,426.693665,142.175507,428.829498,467.816956,-60.967869,364.272705,520.821594,-187.595871,314.987366
112,425.914581,144.350708,418.262115,468.531677,-53.856716,341.764496,522.663696,-177.198578,284.436920
113,425.012939,147.670670,407.318512,468.322601,-45.788448,319.038849,522.283997,-165.440765,253.739899
114,424.155884,152.819382,396.553192,466.975433,-36.404766,295.944214,519.576233,-151.893173,222.929001
115,423.331329,159.519974,386.215454,464.694031,-25.649605,272.936890,514.739624,-136.454346,192.088409
116,422.571320,166.932281,376.093079,461.200012,-13.313767,249.688141,507.825623,-118.942528,161.556625
117,422.207306,175.727432,367.181549,456.693604,0.686059,226.980865,498.842255,-98.952728,131.649872
118,421.907776,185.385422,359.314117,451.763031,16.412153,205.190216,488.032501,-76.233215,102.988251
119,422.185150,195.706528,352.199402,445.475586,34.065849,184.561157,475.571930,-50.946880,75.862495
120,422.792877,206.880753,346.768005,438.447266,53.612453,165.273758,462.205139,-23.342297,50.946953
121,423.826904,217.966736,342.067230,430.195404,74.731560,148.149887,447.268280,6.641387,28.611940
122,425.138184,229.674484,338.955078,420.555054,96.964439,133.763107,431.641876,38.678764,9.509577
123,426.173462,241.337982,337.443939,410.737427,120.752235,121.839104,415.253784,72.668304,-6.386174
124,427.383301,253.017303,337.071838,400.102173,145.565826,112.876274,398.709595,107.899986,-18.095167
125,428.283875,264.567139,338.083679,388.981873,170.555756,107.221237,381.820007,143.501907,-25.881351
126,428.906494,275.289551,341.086517,377.341492,195.545303,105.079109,365.026947,178.896683,-29.901730
127,429.439484,285.346344,345.196320,364.887329,219.735687,106.685158,347.779083,213.405472,-29.968275
128,429.588898,294.579681,349.990601,351.954895,243.261093,111.621361,330.288147,246.331497,-26.597763
129,429.150787,302.728363,355.959320,338.524292,266.072205,120.014694,312.500702,277.024536,-19.335781
130,428.775513,310.280731,362.706726,324.980988,287.484161,131.134552,294.453461,305.831268,-8.905404
131,428.308441,317.507660,370.444458,311.652344,308.276215,144.983749,275.825439,331.997589,5.518074
132,428.132233,324.811401,378.780396,298.780518,327.677429,161.120483,256.967041,355.872864,22.950876
133,428.474762,331.701477,387.870758,286.294800,346.283356,179.792038,237.878143,377.794342,43.277115
134,429.282806,338.014862,397.163391,275.003448,363.891510,200.048508,219.106628,397.497955,66.458656
135,430.657043,344.186493,406.456604,265.054688,379.833405,221.699860,200.779373,414.981720,92.306862
136,432.490082,349.778015,415.567932,256.509460,394.358032,244.169876,183.532089,430.389557,120.265129
137,434.357574,354.561035,424.288696,249.282791,407.273773,266.559570,167.597336,443.737030,149.475586
138,435.909363,358.505127,432.829834,242.808121,417.448090,288.790009,153.592773,454.264801,179.104263
139,436.950073,361.668365,440.826355,237.345871,425.335327,309.926605,141.120834,462.313599,208.597168
