Andrii_trial_4
Date:,2020/08/03
Time:,15:38:05
Type:,muscu_imu
Description:,""
Notes:,"Trial3_Improvisation"

TRAJECTORIES
100.000000,Hz
,R_shoulder1,,,R_elbow2,,,R_wrist3
Field #,X,Y,Z,X,Y,Z,X,Y,Z
1124,417.413788,386.478821,366.220428,512.113342,206.777924,329.607544,645.507629,67.502304,368.106506
1125,416.491028,387.298157,365.582825,509.581512,207.718475,331.310028,641.796875,68.602852,374.055969
1126,414.887665,388.613739,364.763458,506.408630,208.898254,332.408813,636.715576,69.297066,378.906097
1127,412.653717,390.184418,363.680206,502.341064,209.873138,333.402496,630.857605,69.586967,382.775024
1128,410.147369,392.203125,362.596985,497.389252,211.050919,333.709229,623.608948,69.883705,385.591095
1129,407.195313,394.797058,361.283966,491.641754,212.261520,333.592651,615.570801,69.840897,387.600616
1130,403.948059,397.508179,359.920013,485.633545,213.673691,332.859436,606.585144,69.570763,388.288971
1131,400.388397,400.596863,358.558258,478.719391,215.284103,331.783112,596.781921,69.228439,388.176453
1132,396.447540,404.019165,357.326050,471.198792,217.145294,330.419769,586.168457,68.724663,386.906189
1133,392.456787,407.827209,355.774872,463.035980,219.241776,328.483917,574.431519,68.037888,385.093109
1134,388.307312,411.686096,354.486298,454.562195,221.926651,325.742279,562.082825,67.582771,381.674683
1135,384.003845,415.744446,353.233704,445.424500,224.504242,322.930908,549.077332,67.042213,377.687347
1136,379.422577,420.083160,351.807953,436.047241,227.658630,319.428070,535.150391,67.011208,372.341766
1137,375.030975,424.720490,350.402069,426.108673,231.109482,315.638123,520.699036,67.037903,366.161499
1138,370.221375,429.773224,348.935364,415.553802,234.781281,311.461945,505.388550,67.351845,358.875214
1139,365.489441,435.248810,347.305176,404.852661,239.019333,306.775024,489.391083,68.250282,350.289520
1140,360.696045,441.112213,345.635986,393.967560,243.649918,301.628143,472.706085,69.505234,341.166382
1141,355.454010,447.437317,344.494965,382.634247,248.960449,296.206421,455.524902,71.276146,331.282715
1142,350.459198,454.082611,342.727203,371.290070,254.834274,290.482758,437.904785,74.191246,320.548676
1143,345.434143,461.278503,341.002350,359.542786,261.066254,284.821777,420.053162,77.738121,308.764282
1144,340.512848,468.474426,339.413635,347.819672,268.046417,278.714050,401.591919,82.373184,296.767151
1145,335.483368,476.253815,338.274109,335.946625,275.585876,272.826874,382.850250,87.708290,284.218597
1146,330.944641,484.332458,336.807434,324.265137,283.737213,266.617493,363.754639,94.030518,270.986023
1147,326.475616,492.590149,335.854919,312.662750,292.438599,260.260529,344.783600,101.662918,257.441925
1148,322.440002,500.670319,334.514496,300.869171,301.662079,254.203278,325.667908,110.121994,243.459778
1149,318.096222,509.144592,334.001617,289.385864,311.542633,248.082443,306.827820,119.736153,228.938797
1150,314.568848,517.673706,333.473572,278.031219,321.789917,241.825378,287.827423,130.415482,215.099075
1151,311.115082,526.159363,333.436981,267.114166,332.824615,235.933334,268.925873,142.285828,201.225784
1152,308.168671,534.271179,333.463348,256.276245,344.120361,230.561844,250.379440,155.080444,187.418915
1153,305.618286,542.419922,333.609650,245.760529,356.007660,225.145691,231.811981,169.108353,174.047058
1154,302.883301,550.088989,333.920135,235.719116,368.035431,220.055847,213.908875,184.214813,160.795364
1155,300.521301,557.545837,334.822357,225.980774,380.770660,215.436508,195.965073,200.408279,148.143768
1156,298.184784,564.847656,335.196167,216.708603,393.765350,211.172684,178.652344,217.619614,136.063034
1157,296.050690,571.888794,336.063782,207.887253,407.093628,207.123535,161.615005,235.962616,125.107307
1158,294.190002,578.487671,336.894653,199.233932,420.881958,203.587433,144.875748,254.924988,114.978065
1159,292.461884,585.333618,337.830597,190.875473,434.606293,200.379120,128.994049,274.660431,105.935455
1160,290.915222,592.205078,338.779205,183.263290,448.688782,197.869843,113.582138,294.711639,98.405334
1161,289.815063,599.084290,339.766541,176.255447,462.724396,195.694382,99.041618,315.266998,92.148834
1162,288.749878,605.872192,340.911713,169.647247,476.279724,194.389999,85.117165,335.851807,87.104866
1163,287.947479,612.621399,342.089081,163.430115,490.043610,193.805740,72.011040,356.430389,83.251175
1164,287.561066,619.497498,343.157898,157.861618,503.499817,193.427109,59.918167,376.933716,79.930573
1165,287.146362,626.294617,344.753540,152.418320,516.936707,193.680740,48.436050,397.376923,78.032494
1166,287.227173,633.067017,345.937347,147.438614,529.936707,194.501801,37.367481,416.960999,77.782494
1167,287.299347,639.685181,347.933899,142.540985,542.562927,196.372284,27.465555,435.782196,78.330528
1168,287.921997,646.197144,349.264496,138.107040,554.662415,198.363724,18.423130,453.608673,79.466873
1169,288.802582,652.508362,350.826691,133.984924,565.992371,200.937317,10.066424,470.253754,81.493675
