DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - High Fidelity,,,,,,,,,,,,,,,,,
StartTime:,2020-08-04 10:48:43.908 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3],Status
58, 1230419868, 0.9999998169041265, 4.349387584793446E-4, 3.505874592092673E-4, 2.326121732828118E-4, -0.05558858739578028, 0.009890593695548048, 0.1553689276137718, 0
59, 1230436535, 0.9999999257952307, 1.5459564382369617E-4, 3.517140746442244E-4, 2.8406508577993875E-5, -0.05548158297533165, 0.011163034659723086, 0.15361362956750618, 0
60, 1230453202, 0.999999936346633, -2.4513960803906887E-4, 2.3287800150505192E-4, -1.1393480201329909E-4, -0.05696690729618176, 0.011732410103004236, 0.154621151503253, 0
61, 1230469869, 0.9999999659242911, -1.1541422056857153E-4, 2.1233634853279337E-4, -9.871296616667526E-5, -0.058820211598236236, 0.012052934869761315, 0.15601390724464637, 0
62, 1230486536, 0.9999998957979555, 3.306946897409513E-4, 3.1316415125999536E-4, 3.1197993445808425E-5, -0.05871221287378297, 0.012821935702793937, 0.15574014377181522, 0
63, 1230503203, 0.9999998301405423, 5.13039984546243E-4, 2.633869187669003E-4, 8.4475983838192E-5, -0.058353293298693404, 0.013107176003297583, 0.15375741941896984, 0
64, 1230519870, 0.9999999195626643, 3.7859304491927315E-4, 9.260404628531894E-5, 9.469140258715203E-5, -0.058277616344448835, 0.013603825318213487, 0.14882736701636556, 0
65, 1230536537, 0.9999999667146141, 1.1891925789758728E-4, 2.210996196596593E-4, 5.953099018425612E-5, -0.057752282994903474, 0.014271070915612156, 0.14470287163662224, 0
66, 1230553204, 0.9999998951049958, -3.430194295825362E-5, 4.347913916566138E-4, 1.3989217285986788E-4, -0.0572834660020778, 0.014072472204199354, 0.14451802614575232, 0
67, 1230569871, 0.9999997895218656, 1.233580575673715E-4, 6.015732478927839E-4, 2.0940067278693578E-4, -0.0577747454621272, 0.01291171024244717, 0.14592177502674988, 0
68, 1230586538, 0.9999995632628018, 5.118514003711605E-4, 7.117111958951096E-4, 3.239591382481477E-4, -0.057111387159968004, 0.012508902211389464, 0.14396312492074473, 0
69, 1230603205, 0.9999991887195334, 8.085191594168206E-4, 9.353629508098288E-4, 3.065178526892865E-4, -0.05535405346954778, 0.013519018521021664, 0.13933642871632806, 0
70, 1230619872, 0.9999993375313945, 4.3865596986758515E-4, 0.0010416429734552148, 2.1793950569760911E-4, -0.05483002174907762, 0.01395703963846969, 0.13675243721082983, 0
71, 1230636539, 0.9999992261115437, -2.8401639067190954E-4, 0.0012079584963565484, 8.914748861030276E-5, -0.054974302988387055, 0.012585795303875777, 0.1376920845950491, 0
72, 1230653206, 0.999999051480086, -5.690250666699759E-4, 0.0012505910204994866, -9.628863494030859E-5, -0.05592662220849266, 0.011699602651118895, 0.14197545566177866, 0
73, 1230669873, 0.9999991186039788, -2.9072683661855725E-4, 0.0012940093045645806, -6.171783840666635E-5, -0.057444267459641624, 0.012251394324385455, 0.1416128616625857, 0
74, 1230686540, 0.9999989265700987, -3.5879641778771565E-5, 0.0014640141539307707, 4.726371555253961E-5, -0.0565362650613125, 0.013675560335097824, 0.1385887406925481, 0
75, 1230703207, 0.9999984971763792, -6.774030608489995E-4, 0.001593271187930498, -9.08680250043259E-5, -0.05591370640778298, 0.012330626017053906, 0.1367769538685901, 0
76, 1230719874, 0.9999975287432453, -0.0015312622175707585, 0.0015652140020449015, -3.845107944106807E-4, -0.058303425329435624, 0.01192465063023684, 0.14034888480035276, 0
77, 1230736541, 0.9999974948137239, -0.0015346926027995644, 0.0015837748020795517, -3.830695334004625E-4, -0.06013221193326757, 0.010945437118103921, 0.1420783557089541, 0
78, 1230753208, 0.9999975687476151, -0.001124910872376511, 0.001868451641135416, -3.255193583402288E-4, -0.058916052083207195, 0.012047427262390177, 0.1412130453437363, 0
79, 1230769875, 0.9999969499036967, -0.0013180818163841396, 0.002068098937025892, -2.929341489565502E-4, -0.060936646327920105, 0.013205175952655352, 0.14098441102413575, 0
80, 1230786542, 0.9999966083193423, -0.001575051218558221, 0.0020647178391045855, -1.987554165672617E-4, -0.06439517561438712, 0.013673240515945848, 0.14471449445406404, 0
81, 1230803209, 0.9999970967708678, -8.157246160504228E-4, 0.002263520782630299, 1.323512484228129E-4, -0.06522358948181496, 0.015270320328848853, 0.1463167671915929, 0
82, 1230819876, 0.9999966955017043, -1.2028989472931406E-4, 0.002540853829780185, 3.7226043125808406E-4, -0.06253285055087815, 0.014092751821490944, 0.14339708015563452, 0
83, 1230836543, 0.9999966894253068, -9.77036056851982E-4, 0.002378390226892305, 9.898938641327017E-5, -0.06387378188298647, 0.012045131281036809, 0.1399556774450263, 0
84, 1230853210, 0.9999949524038799, -0.0022024786762786797, 0.0022761695451948426, -2.51608115833718E-4, -0.0658122241060049, 0.011659078871138807, 0.14213411001600537, 0
85, 1230869877, 0.9999947548646468, -0.0018845676223441382, 0.0026321421414284146, -1.0235144882406179E-4, -0.06788014231970105, 0.012263167102875928, 0.14743176659012514, 0
86, 1230886544, 0.9999952043657422, -8.629791028470085E-4, 0.002966524385674616, 2.1504802914928955E-4, -0.06838286280613919, 0.012301743498939737, 0.148889796571574, 0
87, 1230903211, 0.9999959080609107, -9.290854771603907E-4, 0.002690984918475012, 2.815346860904622E-4, -0.06774172435614884, 0.010262018788551503, 0.1470198956989755, 0
88, 1230919878, 0.9999957771578308, -0.001752775748966845, 0.002318068254242634, 1.8023353802465447E-6, -0.06969125551925809, 0.00920997922708484, 0.145439015988956, 0
89, 1230936545, 0.9999952847015173, -0.0018725704828590622, 0.002433859726971077, -1.9528119067552255E-5, -0.06996012911844401, 0.008936907782096378, 0.1465219495385681, 0
90, 1230953212, 0.9999952490988735, -0.0015725832908395215, 0.002651146597139748, -1.3534982114898897E-5, -0.0692433977368335, 0.00871162629675171, 0.14657875006582297, 0
91, 1230969879, 0.9999950557226246, -0.0016929838591511343, 0.0026499481232461768, 1.053097599799935E-5, -0.070648923506132, 0.007268855100121624, 0.14702177091522683, 0
