DeviceTag:,Xsens DOT 5,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Complete (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2020-08-04 10:32:16.198 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z
79, 243174206, 0.92546993, -0.020991722, 0.29708278, 0.23410788, -0.17983204, 0.08972786, 0.19745731
80, 243190873, 0.92426205, -0.019002963, 0.30113688, 0.2338699, -0.12504454, -0.010465715, 0.31181717
81, 243207540, 0.9230275, -0.018528264, 0.30508015, 0.23367307, -0.06537933, 0.08914264, 0.02755642
82, 243224207, 0.9216704, -0.018224528, 0.30920365, 0.23363397, -0.23724335, 0.14916955, 0.16468143
83, 243240874, 0.9200855, -0.016665014, 0.31382188, 0.23383985, -0.17486604, 0.0069138985, 0.43895245
84, 243257541, 0.9186215, -0.01483724, 0.3181814, 0.23382688, 0.093676515, -0.26915076, 0.5118971
85, 243274208, 0.91744024, -0.014406456, 0.32180396, 0.23353384, 0.12497749, -0.21640322, 0.37262154
86, 243290875, 0.91635877, -0.013993933, 0.3250805, 0.23326668, -0.022630239, 0.014995722, 0.3125143
87, 243307542, 0.91515714, -0.011423835, 0.3286712, 0.23309308, -0.22140478, 0.018014006, 0.6177616
88, 243324209, 0.91394025, -0.008015851, 0.3322572, 0.23292577, -0.002443667, -0.31243846, 0.49113846
89, 243340876, 0.9128983, -0.00630382, 0.33545977, 0.23247342, -0.009932916, -0.5146434, 0.06764603
90, 243357543, 0.9119932, -0.0060100015, 0.33833534, 0.23186545, -0.25628957, -0.5131165, -0.23193455
91, 243374210, 0.9110349, -0.0049570114, 0.3415389, 0.23095946, -0.6162601, -0.52387583, -0.46582985
92, 243390877, 0.90985936, -0.0029825862, 0.34543058, 0.22983643, -0.5485046, -0.50911146, -0.6627989
93, 243407544, 0.9086197, -0.0011730522, 0.3496496, 0.22837265, -0.46997064, -0.4993055, -0.75261784
94, 243424211, 0.90748143, -3.134236E-4, 0.3536944, 0.22666651, -0.63493574, -0.33461273, -0.8671074
95, 243440878, 0.9066105, -6.232792E-4, 0.35719514, 0.22465262, -1.0641202, -0.25207695, -1.1357679
96, 243457545, 0.9058025, -0.002355003, 0.36063382, 0.22239517, -1.2327361, -0.059744984, -1.793026
97, 243474212, 0.9046464, -0.0052190456, 0.36475062, 0.22032924, -1.3668396, 0.39354414, -2.3490224
98, 243490879, 0.90268135, -0.0068928394, 0.37033206, 0.21902789, -1.3109545, 0.6077648, -2.3912048
99, 243507546, 0.89998937, -0.004276365, 0.37748456, 0.2179597, -1.0421624, 0.48980367, -1.5222254
100, 243524213, 0.89689314, 0.0017800623, 0.38553292, 0.2166657, -0.3396744, 0.4503146, -0.44396114
101, 243540880, 0.89421177, 0.005689208, 0.3924503, 0.2152576, -0.15368862, 0.30182296, 0.1491108
102, 243557547, 0.8919813, 0.0046090274, 0.39777184, 0.21476947, -0.2589449, 0.18913524, -0.042201996
103, 243574214, 0.88981634, 0.0029344799, 0.4027501, 0.21450152, -0.34807068, -0.21630691, -0.38476753
104, 243590881, 0.88697237, 0.004692605, 0.40926746, 0.21391214, -0.56816834, -0.24931069, -0.07006073
105, 243607548, 0.88386923, 0.008881543, 0.4162644, 0.21311994, -0.22815174, -0.25791138, 0.3546486
106, 243624215, 0.88098955, 0.013205991, 0.42275608, 0.21203965, -0.18000884, -0.24371311, 0.54253006
107, 243640882, 0.878395, 0.01623021, 0.42860588, 0.21084541, -0.27310446, -0.19503696, 0.2839632
