DeviceTag:,Xsens DOT 4,,,,,,,,,,,,,,,,,
FirmwareVersion:,1.3.0,,,,,,,,,,,,,,,,,
AppVersion:,2020.1.1,,,,,,,,,,,,,,,,,
Measurement Mode:,Inertial Mode - Delta quantities,,,,,,,,,,,,,,,,,
StartTime:,2020-08-20 10:17:14.354 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2020,,,,,,,,,,,,,,,,,,,
PacketCounter,SampleTimeFine,dQ_W,dQ_X,dQ_Y,dQ_Z,dV[1],dV[2],dV[3]
50, 243047070, 0.9999999403953552, 1.8555205315351486E-4, -1.3400055468082428E-4, 1.688627526164055E-4, 0.012818455696105957, 0.026344656944274902, 0.16261231899261475
51, 243063737, 0.9999999403953552, -1.1574849486351013E-4, -2.2043287754058838E-4, 1.2276601046323776E-4, 0.012889266014099121, 0.0255812406539917, 0.16156870126724243
52, 243080404, 0.9999999403953552, -2.627875655889511E-4, -1.4578178524971008E-4, 5.8409757912158966E-5, 0.01401442289352417, 0.022588670253753662, 0.1614125370979309
53, 243097071, 1.0, 1.9283033907413483E-5, -9.647384285926819E-5, 4.15043905377388E-5, 0.013681173324584961, 0.021598100662231445, 0.1623551845550537
54, 243113738, 0.9999999403953552, 3.38568352162838E-4, -1.0448694229125977E-4, 9.035971015691757E-5, 0.012436270713806152, 0.023589730262756348, 0.16049140691757202
55, 243130405, 0.9999999403953552, 3.6990735679864883E-4, -8.0890953540802E-5, 5.5140815675258636E-5, 0.012777507305145264, 0.02320575714111328, 0.1592257022857666
56, 243147072, 0.9999999403953552, 2.817148342728615E-4, -8.458271622657776E-5, 1.3216398656368256E-5, 0.012896895408630371, 0.022781431674957275, 0.1605314016342163
57, 243163739, 0.9999998807907104, 4.6747270971536636E-4, -1.2224912643432617E-4, 2.091098576784134E-5, 0.013264179229736328, 0.023585975170135498, 0.15977323055267334
58, 243180406, 0.9999998807907104, 4.6669039875268936E-4, -2.8431415557861328E-5, 8.611474186182022E-5, 0.01369410753250122, 0.024046361446380615, 0.15897387266159058
59, 243197073, 1.0, 2.2940989583730698E-4, 8.735153824090958E-5, -3.8564205169677734E-5, 0.01421511173248291, 0.025470316410064697, 0.16001790761947632
60, 243213740, 1.0, -1.976843923330307E-4, -3.7167221307754517E-5, -1.4058314263820648E-4, 0.013300955295562744, 0.02702254056930542, 0.16198313236236572
61, 243230407, 0.9999999403953552, -2.3214705288410187E-4, -1.1735968291759491E-4, -7.684342563152313E-5, 0.01393139362335205, 0.02296006679534912, 0.16153240203857422
62, 243247074, 1.0, 1.541590318083763E-4, -5.0300732254981995E-5, -5.0105154514312744E-5, 0.012436449527740479, 0.02298516035079956, 0.16044598817825317
63, 243263741, 0.9999999403953552, 3.4591276198625565E-4, 7.656402885913849E-6, -7.467344403266907E-6, 0.014224529266357422, 0.02160954475402832, 0.16119349002838135
64, 243280408, 0.9999999403953552, 3.0479300767183304E-4, -4.013814032077789E-5, -8.752942085266113E-5, 0.013599276542663574, 0.027383804321289062, 0.162936270236969
65, 243297075, 0.9999999403953552, -1.9449740648269653E-4, -1.752357929944992E-4, -6.338395178318024E-5, 0.013480842113494873, 0.027104496955871582, 0.16229063272476196
66, 243313742, 0.9999999403953552, -2.650003880262375E-4, -1.6671232879161835E-4, 1.239590346813202E-6, 0.013051271438598633, 0.02366727590560913, 0.16034448146820068
67, 243330409, 1.0, -6.507337093353271E-5, -7.405132055282593E-5, -2.045370638370514E-5, 0.014044463634490967, 0.02272212505340576, 0.16026264429092407
68, 243347076, 1.0, 6.617512553930283E-5, -1.103375107049942E-4, -2.9552727937698364E-5, 0.01323556900024414, 0.02509230375289917, 0.1621333360671997
69, 243363743, 0.9999999403953552, 3.727087751030922E-4, -1.55007466673851E-4, 3.992579877376556E-6, 0.01308220624923706, 0.022667646408081055, 0.15980470180511475
70, 243380410, 0.9999998807907104, 5.415389314293861E-4, -1.1965632438659668E-5, 3.239791840314865E-5, 0.01361161470413208, 0.023989737033843994, 0.15917199850082397
71, 243397077, 0.9999999403953552, 2.8183404356241226E-4, 9.369570761919022E-5, -5.297362804412842E-5, 0.014473915100097656, 0.02644670009613037, 0.15847313404083252
72, 243413744, 0.9999999403953552, -2.8485991060733795E-4, 5.846936255693436E-5, -1.3393722474575043E-4, 0.013488352298736572, 0.030197739601135254, 0.16168642044067383
73, 243430411, 0.9999998807907104, -5.117431282997131E-4, -1.3002194464206696E-4, -4.5457854866981506E-5, 0.012193083763122559, 0.024619221687316895, 0.15969258546829224
74, 243447078, 1.0, -9.872019290924072E-8, 5.00120222568512E-7, 9.772274643182755E-5, 0.013038814067840576, 0.020315170288085938, 0.1584448218345642
75, 243463745, 0.9999999403953552, 3.248164430260658E-4, 1.779971644282341E-4, 6.550829857587814E-5, 0.016010701656341553, 0.022803306579589844, 0.16160058975219727
76, 243480412, 0.9999999403953552, 3.5669002681970596E-4, 3.045424818992615E-7, 2.5476329028606415E-5, 0.012902796268463135, 0.028358399868011475, 0.16400504112243652
77, 243497079, 1.0, 5.14322891831398E-5, -1.1478550732135773E-4, 3.0829571187496185E-5, 0.013433516025543213, 0.024137496948242188, 0.16129142045974731
78, 243513746, 1.0, 2.023288980126381E-4, -1.1857040226459503E-4, 2.359692007303238E-5, 0.014072537422180176, 0.022432446479797363, 0.15966814756393433
79, 243530413, 0.9999999403953552, 3.6337319761514664E-4, 1.9756145775318146E-5, 4.776753485202789E-6, 0.015249013900756836, 0.02289062738418579, 0.1600196361541748
80, 243547080, 1.0, 7.943343371152878E-5, -1.2798234820365906E-5, -1.7184577882289886E-4, 0.015218198299407959, 0.027103841304779053, 0.16349953413009644
81, 243563747, 0.9999999403953552, -2.1464377641677856E-4, -1.438520848751068E-4, -2.3422017693519592E-4, 0.013598024845123291, 0.02690976858139038, 0.16270267963409424
